;link
57;http://www.gendarmerie.gov.mg/blog/2014/01/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-le-13-janvier-2014/#more-924
58;http://www.gendarmerie.gov.mg/blog/2014/01/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-le-20-janvier-2014/
59;http://www.gendarmerie.gov.mg/blog/2014/01/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-le-20-janvier-2014/#more-938
60;http://www.gendarmerie.gov.mg/blog/2014/02/
61;http://www.gendarmerie.gov.mg/blog/2014/02/01/
62;http://www.gendarmerie.gov.mg/blog/2014/02/04/
63;http://www.gendarmerie.gov.mg/blog/2014/02/14/
64;http://www.gendarmerie.gov.mg/blog/2014/02/18/
65;http://www.gendarmerie.gov.mg/blog/2014/02/20/
66;http://www.gendarmerie.gov.mg/blog/2014/02/24/
67;http://www.gendarmerie.gov.mg/blog/2014/02/25/
68;http://www.gendarmerie.gov.mg/blog/2014/02/27/
69;http://www.gendarmerie.gov.mg/blog/2014/02/28/
70;http://www.gendarmerie.gov.mg/blog/2014/02/campagne-de-reboisement-au-sein-de-la-gendarmerie-nationale-le-13-fevrier-2014-dans-lenceinte-du-centre-dorphelinat-de-la-gendarmerie-nationale-arivonimamo/
71;http://www.gendarmerie.gov.mg/blog/2014/02/campagne-de-reboisement-au-sein-de-la-gendarmerie-nationale-le-13-fevrier-2014-dans-lenceinte-du-centre-dorphelinat-de-la-gendarmerie-nationale-arivonimamo/#more-968
72;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-dadieu-aux-armes/
73;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-dadieu-aux-armes/#more-1089
74;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-commemoration-de-l-assassinat-du-colonel-richard-ratsimandrava-et-les-gendarmes-decedes-en-services-commandes/
75;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-commemoration-de-l-assassinat-du-colonel-richard-ratsimandrava-et-les-gendarmes-decedes-en-services-commandes/#more-964
76;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-la-remise-de-drapeau-des-generaux-nouveaux-promus-au-titre-de-lannee-2013-a-iavoloha-le-19-fevrier-2014/
77;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-la-remise-de-drapeau-des-generaux-nouveaux-promus-au-titre-de-lannee-2013-a-iavoloha-le-19-fevrier-2014/#more-989
78;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-presentation-des-voeux-de-nouvel-an-2014-du-personnel-de-coordonnateur-general-de-programme-au-cercle-mess-fort-duchesne/
79;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-presentation-des-voeux-de-nouvel-an-2014-du-personnel-de-coordonnateur-general-de-programme-au-cercle-mess-fort-duchesne/#more-948
80;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-presentation-des-voeux-du-ministere-des-forces-armees-et-du-secretariat-detat-charge-de-la-gendarmerie-nationale/
81;http://www.gendarmerie.gov.mg/blog/2014/02/ceremonie-de-presentation-des-voeux-du-ministere-des-forces-armees-et-du-secretariat-detat-charge-de-la-gendarmerie-nationale/#more-953
82;http://www.gendarmerie.gov.mg/blog/2014/02/exercice-de-tirs-et-assistance-a-une-demonstration-sur-les-operations-de-gestion-democratique-des-foules-par-les-eleves-magistrats-en-stage-pratique-dans-la-gendarmerie-nationale/
83;http://www.gendarmerie.gov.mg/blog/2014/02/exercice-de-tirs-et-assistance-a-une-demonstration-sur-les-operations-de-gestion-democratique-des-foules-par-les-eleves-magistrats-en-stage-pratique-dans-la-gendarmerie-nationale/#more-1005
84;http://www.gendarmerie.gov.mg/blog/2014/02/inauguration-de-la-brigade-de-la-gendarmerie-nationale-ambohimanga-rova/
85;http://www.gendarmerie.gov.mg/blog/2014/02/inauguration-de-la-brigade-de-la-gendarmerie-nationale-ambohimanga-rova/#more-1050
86;http://www.gendarmerie.gov.mg/blog/2014/02/page/2/
87;http://www.gendarmerie.gov.mg/blog/2014/02/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-le-17-fevrier-2014/
88;http://www.gendarmerie.gov.mg/blog/2014/02/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-a-la-salle-dhonneur-du-toby-ratsimandrava-le-17-fevrier-2014/#more-972
89;http://www.gendarmerie.gov.mg/blog/2014/02/reunion-des-grands-responsables/
90;http://www.gendarmerie.gov.mg/blog/2014/02/reunion-des-grands-responsables/#more-1024
91;http://www.gendarmerie.gov.mg/blog/2014/02/sortie-officielle-de-la-6eme-promotion-bs1-en-informatique/
92;http://www.gendarmerie.gov.mg/blog/2014/02/sortie-officielle-de-la-6eme-promotion-bs1-en-informatique/#more-1034
93;http://www.gendarmerie.gov.mg/blog/2014/02/sortie-officielle-de-la-promotion-ainav-bs1-depanneur-radio-fil-et-energie/
94;http://www.gendarmerie.gov.mg/blog/2014/02/sortie-officielle-de-la-promotion-ainav-bs1-depanneur-radio-fil-et-energie/#more-1095
95;http://www.gendarmerie.gov.mg/blog/2014/03/
96;http://www.gendarmerie.gov.mg/blog/2014/03/01/
97;http://www.gendarmerie.gov.mg/blog/2014/03/03/
98;http://www.gendarmerie.gov.mg/blog/2014/03/04/
99;http://www.gendarmerie.gov.mg/blog/2014/03/05/
100;http://www.gendarmerie.gov.mg/blog/2014/03/06/
101;http://www.gendarmerie.gov.mg/blog/2014/03/07/
102;http://www.gendarmerie.gov.mg/blog/2014/03/10/
103;http://www.gendarmerie.gov.mg/blog/2014/03/11/
104;http://www.gendarmerie.gov.mg/blog/2014/03/1291/
105;http://www.gendarmerie.gov.mg/blog/2014/03/1291/#more-1291
106;http://www.gendarmerie.gov.mg/blog/2014/03/13/
107;http://www.gendarmerie.gov.mg/blog/2014/03/18/
108;http://www.gendarmerie.gov.mg/blog/2014/03/19/
109;http://www.gendarmerie.gov.mg/blog/2014/03/25/
110;http://www.gendarmerie.gov.mg/blog/2014/03/27/
111;http://www.gendarmerie.gov.mg/blog/2014/03/29/
112;http://www.gendarmerie.gov.mg/blog/2014/03/31/
